[Sun Mar 15 13:26:53.454839 2020] [mpm_winnt:notice] [pid 13316:tid 912] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Sun Mar 15 13:26:53.455837 2020] [mpm_winnt:notice] [pid 13316:tid 912] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Sun Mar 15 13:26:53.455837 2020] [core:notice] [pid 13316:tid 912] AH00094: Command line: 'E:\\Git\\survey-teamwork\\newserver/apache2/bin/httpd_usbwv8.exe -d E:/Git/survey-teamwork/newserver/apache2'
[Sun Mar 15 13:26:53.458829 2020] [mpm_winnt:notice] [pid 13316:tid 912] AH00418: Parent: Created child process 19460
[Sun Mar 15 13:26:55.228878 2020] [mpm_winnt:notice] [pid 19460:tid 840] AH00354: Child: Starting 64 worker threads.
[Sun Mar 15 14:00:32.021161 2020] [:error] [pid 19460:tid 1412] [client ::1:14813] PHP Fatal error:  Call to undefined function camel_case() in E:\\Git\\survey-teamwork\\newserver\\root\\saveJson.php on line 11, referer: http://localhost:8080/makeSurvey.html
[Sun Mar 15 14:01:59.056064 2020] [:error] [pid 19460:tid 1420] [client ::1:14827] PHP Fatal error:  Call to undefined function camel_case() in E:\\Git\\survey-teamwork\\newserver\\root\\saveJson.php on line 11, referer: http://localhost:8080/makeSurvey.html
[Sun Mar 15 14:01:59.056064 2020] [:error] [pid 19460:tid 1416] [client ::1:14825] PHP Fatal error:  Call to undefined function camel_case() in E:\\Git\\survey-teamwork\\newserver\\root\\saveJson.php on line 11, referer: http://localhost:8080/makeSurvey.html
[Sun Mar 15 14:04:59.658489 2020] [:error] [pid 19460:tid 1420] [client ::1:14985] PHP Fatal error:  Call to undefined function camel_case() in E:\\Git\\survey-teamwork\\newserver\\root\\saveJson.php on line 11, referer: http://localhost:8080/makeSurvey.html
[Sun Mar 15 14:07:41.075652 2020] [:error] [pid 19460:tid 1420] [client ::1:1121] PHP Parse error:  syntax error, unexpected ':', expecting '{' in E:\\Git\\survey-teamwork\\newserver\\root\\saveJson.php on line 19, referer: http://localhost:8080/makeSurvey.html
[Sun Mar 15 14:08:04.331542 2020] [:error] [pid 19460:tid 1416] [client ::1:1128] PHP Parse error:  syntax error, unexpected ':', expecting '{' in E:\\Git\\survey-teamwork\\newserver\\root\\saveJson.php on line 19
[Sun Mar 15 14:09:08.323315 2020] [:error] [pid 19460:tid 1440] [client ::1:1198] PHP Catchable fatal error:  Argument 1 passed to camel_case() must be an instance of string, string given, called in E:\\Git\\survey-teamwork\\newserver\\root\\saveJson.php on line 11 and defined in E:\\Git\\survey-teamwork\\newserver\\root\\saveJson.php on line 19, referer: http://localhost:8080/makeSurvey.html
[Sun Mar 15 15:32:26.857589 2020] [:error] [pid 19460:tid 1420] [client ::1:3277] PHP Parse error:  syntax error, unexpected '$filepath' (T_VARIABLE) in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 35
[Sun Mar 15 15:33:20.810497 2020] [:error] [pid 19460:tid 1420] [client ::1:3304] PHP Parse error:  syntax error, unexpected '$filepath' (T_VARIABLE) in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 35
[Sun Mar 15 15:34:55.172917 2020] [:error] [pid 19460:tid 1420] [client ::1:3386] PHP Parse error:  syntax error, unexpected '$filepath' (T_VARIABLE) in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 35
[Sun Mar 15 15:35:30.866093 2020] [:error] [pid 19460:tid 1420] [client ::1:3404] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 35
[Sun Mar 15 15:40:23.560024 2020] [:error] [pid 19460:tid 1420] [client ::1:3569] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 40
[Sun Mar 15 15:41:36.674602 2020] [:error] [pid 19460:tid 1420] [client ::1:3613] PHP Warning:  file_get_contents(\\haowenti_1584240326276.json): failed to open stream: No such file or directory in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 38
[Sun Mar 15 15:42:10.630265 2020] [:error] [pid 19460:tid 1420] [client ::1:3630] PHP Warning:  file_get_contents(\\haowenti_1584240326276.json): failed to open stream: No such file or directory in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 39
[Sun Mar 15 15:42:49.345838 2020] [:error] [pid 19460:tid 1420] [client ::1:3649] PHP Warning:  file_get_contents(\\haowenti_1584240326276.json): failed to open stream: No such file or directory in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 39
[Sun Mar 15 15:43:26.098563 2020] [:error] [pid 19460:tid 1420] [client ::1:3671] PHP Warning:  file_get_contents(jsonfile/\\haowenti_1584240326276.json): failed to open stream: No such file or directory in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 39
[Sun Mar 15 15:44:14.699261 2020] [:error] [pid 19460:tid 1420] [client ::1:3699] PHP Notice:  Undefined variable: filepath in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 38
[Sun Mar 15 15:44:14.699261 2020] [:error] [pid 19460:tid 1420] [client ::1:3699] PHP Notice:  Undefined variable: filepath in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 39
[Sun Mar 15 15:44:14.699261 2020] [:error] [pid 19460:tid 1420] [client ::1:3699] PHP Warning:  file_get_contents(): Filename cannot be empty in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 39
[Sun Mar 15 15:44:40.314742 2020] [:error] [pid 19460:tid 1420] [client ::1:3711] PHP Warning:  file_get_contents(jsonfile/haowenti_1584240326276.json): failed to open stream: No such file or directory in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 39
[Sun Mar 15 15:46:50.647080 2020] [:error] [pid 19460:tid 1420] [client ::1:3858] PHP Warning:  file_get_contents(jsonfile/haowenti_1584240326276.json): failed to open stream: No such file or directory in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 39
[Sun Mar 15 15:47:33.024475 2020] [:error] [pid 19460:tid 1420] [client ::1:3879] PHP Warning:  file_get_contents(jsonfile/haowenti_1584240326276.json): failed to open stream: No such file or directory in E:\\Git\\survey-teamwork\\newserver\\root\\sendJson.php on line 39
